BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,YEAR BUILT,SALE PRICE,SALE DATE
3,OCEAN PARKWAY-NORTH,10 COOPS - ELEVATOR APARTMENTS             ,2,5399,41,"570 OCEAN PARKWAY, 2A",11218,0,0,0,0,1931,330000,3/23/2017
4,SPRINGFIELD GARDENS,01 ONE FAMILY DWELLINGS                    ,1,12592,311,174-17 142ND AVENUE,11434,1,0,1,2400,1920,270000,4/5/2017
4,OZONE PARK,07 RENTALS - WALKUP APARTMENTS             ,2A,11367,45,87-03 DUMONT AVENUE,11417,6,0,6,3080,1978,0,5/25/2017
4,ST. ALBANS,01 ONE FAMILY DWELLINGS                    ,1,12399,313,114-82 177TH STREET,11434,1,0,1,5458,1950,0,1/26/2017
3,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,5195,78,315 EAST 29TH STREET,11226,1,0,1,4000,1899,210000,5/4/2017
4,BRIARWOOD,02 TWO FAMILY DWELLINGS                    ,1,9731,1,85-05 148TH   STREET,11435,2,0,2,4800,1965,1350000,3/21/2017
2,SOUNDVIEW,10 COOPS - ELEVATOR APARTMENTS             ,2,3627,30,"825 MORRISON AVENUE, 19-C",10473,0,0,0,0,1962,210000,2/1/2017
4,FLUSHING-NORTH,44 CONDO PARKING                           ,4,4952,1266,136-21 LATIMER PLACE,11354,0,0,1,0,2013,0,3/31/2017
1,UPPER WEST SIDE (96-116),08 RENTALS - ELEVATOR APARTMENTS           ,2,1852,31,120 WEST 100 STREET,10025,287,0,287,24757,1958,0,7/19/2017
3,OCEAN HILL,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,1503,1105,729 DECATUR STREET,11233,1,0,1,0,2015,328000,4/3/2017
5,NEW DORP-BEACH,01 ONE FAMILY DWELLINGS                    ,1,4092,5,181 CEDAR GROVE AVENUE,10306,1,0,1,3280,1945,435000,4/7/2017
4,SOUTH OZONE PARK,01 ONE FAMILY DWELLINGS                    ,1,11672,34,115-58 130TH STREET,11420,1,0,1,2520,1925,0,6/22/2017
1,EAST VILLAGE,13 CONDOS - ELEVATOR APARTMENTS            ,2,440,1112,407 EAST 12TH,10009,1,0,1,0,0,1650000,4/5/2017
4,REGO PARK,29 COMMERCIAL GARAGES                      ,4,3147,1,67-69 WOODHAVEN BLVD.,11374,0,1,1,9468,1940,500000,4/3/2017
4,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS                    ,1,2994,4,82-34 63RD AVENUE,11379,1,0,1,3000,1930,0,1/25/2017
4,ST. ALBANS,01 ONE FAMILY DWELLINGS                    ,1,12470,30,119-54 177TH STREET,11434,1,0,1,3657,1925,415000,8/21/2017
1,MIDTOWN WEST,10 COOPS - ELEVATOR APARTMENTS             ,2,1046,56,"350 WEST 56TH STREET, 5A",10019,0,0,0,0,1920,539000,7/26/2017
4,SOUTH JAMAICA,02 TWO FAMILY DWELLINGS                    ,1,10128,126,106-38 UNION HALL STREET,11433,2,0,2,2952,1994,0,5/11/2017
2,RIVERDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,5725,767,"609 KAPPOCK ST, 7B",10463,0,0,0,0,1962,172500,5/12/2017
3,SHEEPSHEAD BAY,10 COOPS - ELEVATOR APARTMENTS             ,2,7381,79,"2675 OCEAN AVENUE, 2D",11229,0,0,0,0,1954,0,8/24/2017
2,RIVERDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,5795,518,"3530 HENRY HUDSON PKWY, 6L",10463,0,0,0,0,1955,520000,6/21/2017
3,SHEEPSHEAD BAY,10 COOPS - ELEVATOR APARTMENTS             ,2,7457,55,"2665 HOMECREST AVENUE, 5F",11235,0,0,0,0,1962,175000,3/13/2017
4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS                    ,1,12129,69,151-17 134TH   AVE,11430,2,0,2,3800,1997,0,5/12/2017
4,MASPETH,10 COOPS - ELEVATOR APARTMENTS             ,2,2376,101,"52-54 65TH PLACE, LGH",11378,0,0,0,0,1956,175000,2/13/2017
3,MIDWOOD,01 ONE FAMILY DWELLINGS                    ,1,7641,69,1254 EAST 24TH STREET,11210,1,0,1,3200,1925,1089000,5/19/2017
3,MIDWOOD,02 TWO FAMILY DWELLINGS                    ,1,6704,26,948-950 EAST 12TH STREET,11230,2,0,2,4000,1920,0,2/26/2017
1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,800,1379,101 WEST 24TH STREET,10011,1,0,1,0,2006,1615000,4/21/2017
4,SOUTH OZONE PARK,01 ONE FAMILY DWELLINGS                    ,1,11698,39,13405 120 AVENUE,11420,1,0,1,2000,1905,575737,3/20/2017
4,ST. ALBANS,01 ONE FAMILY DWELLINGS                    ,1,11030,84,114-36 212 STREET,11411,1,0,1,2400,1930,295000,8/8/2017
4,LAURELTON,02 TWO FAMILY DWELLINGS                    ,1,13099,81,220-20 134TH ROAD,11413,2,0,2,2811,1996,550000,3/10/2017
4,FOREST HILLS,17 CONDO COOPS                             ,2,3293,1010,"110-34 73RD ROAD, 4G",11375,0,0,0,0,1942,405600,2/27/2017
4,BAYSIDE,03 THREE FAMILY DWELLINGS                  ,1,6260,52,42-27 202 STREET,11361,3,0,3,3000,1965,0,4/11/2017
3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6366,29,8633 17TH AVENUE,11214,2,0,2,1933,1901,0,4/17/2017
3,BROWNSVILLE,05 TAX CLASS 1 VACANT LAND                 ,1B,3585,28,LIVONIA AVENUE,0,0,0,0,2015,0,150000,3/3/2017
3,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS                    ,1,4991,72,1393 TROY AVENUE,11203,2,0,2,1767,1935,582400,4/18/2017
4,LAURELTON,01 ONE FAMILY DWELLINGS                    ,1,12939,194,131-32 230 STREET,11413,1,0,1,4000,1935,489000,4/11/2017
5,NEW DORP-BEACH,01 ONE FAMILY DWELLINGS                    ,1,4065,45,23 ROMA AVENUE,10306,1,0,1,4000,1970,389000,3/10/2017
4,BELLEROSE,01 ONE FAMILY DWELLINGS                    ,1,8592,11,83-14 250TH STREET,11426,1,0,1,4000,1950,0,4/3/2017
4,GLEN OAKS,09 COOPS - WALKUP APARTMENTS               ,2,8401,675,"71-12 252ND STREET, 71-B",11426,0,0,0,0,1952,162500,4/25/2017
4,BELLEROSE,01 ONE FAMILY DWELLINGS                    ,1,8659,31,91-10 246TH   STREET,11426,1,0,1,2371,1925,0,5/3/2017
3,WILLIAMSBURG-SOUTH,08 RENTALS - ELEVATOR APARTMENTS           ,2,2159,1,475 KENT AVENUE,11249,103,1,104,24524,1911,55675000,2/1/2017
3,BOROUGH PARK,02 TWO FAMILY DWELLINGS                    ,1,5504,40,5808 18TH   AVENUE,11204,2,0,2,2865,1930,0,1/24/2017
3,CANARSIE,02 TWO FAMILY DWELLINGS                    ,1,8304,62,1438 EAST 102 STREET,11236,2,0,2,2000,1960,600000,1/12/2017
3,CROWN HEIGHTS,03 THREE FAMILY DWELLINGS                  ,1,1376,20,1216 STERLING PLACE,11213,3,0,3,2101,1899,0,5/4/2017
2,RIVERDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,5909,970,"4555 HENRY HUDSON PARKWAY, A1211",10471,0,0,0,0,1953,242500,8/22/2017
3,BRIGHTON BEACH,13 CONDOS - ELEVATOR APARTMENTS            ,2,8668,1116,727 OCEAN VIEW AVENUE,11235,1,0,1,0,2005,530000,3/23/2017
1,UPPER WEST SIDE (96-116),13 CONDOS - ELEVATOR APARTMENTS            ,2,1888,1147,817 WEST END AVE,10025,1,0,1,0,1920,0,6/1/2017
3,MADISON,10 COOPS - ELEVATOR APARTMENTS             ,2,6818,74,"1855 EAST 12TH STREET, 3H",11229,0,0,0,0,1963,232000,3/9/2017
4,SUNNYSIDE,02 TWO FAMILY DWELLINGS                    ,1,155,73,39-28 45TH   STREET,11104,2,0,2,2442,1930,1615000,3/29/2017
4,JACKSON HEIGHTS,10 COOPS - ELEVATOR APARTMENTS             ,2,1474,12,"37-20 87TH STREET, 6F",11372,0,0,0,0,1951,0,8/7/2017
2,MOUNT HOPE/MOUNT EDEN,29 COMMERCIAL GARAGES                      ,4,2809,29,250 ECHO PLACE,10457,0,0,0,2083,1922,0,4/27/2017
3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS                    ,1,1657,24,724-A JEFFERSON AVENUE,11221,2,0,2,1700,1899,0,4/9/2017
3,BAY RIDGE,10 COOPS - ELEVATOR APARTMENTS             ,2,6133,25,"9902 3RD AVENUE, 6A",11209,0,0,0,0,1954,325000,8/15/2017
5,WOODROW,02 TWO FAMILY DWELLINGS                    ,1,7091,10,27 CLAY PIT ROAD,10309,2,0,2,3288,2000,0,3/17/2017
1,WASHINGTON HEIGHTS LOWER,10 COOPS - ELEVATOR APARTMENTS             ,2,2139,530,"359 FORT WASHINGTON AVEN, 6I",10033,0,0,0,0,1923,875000,4/19/2017
5,NEW SPRINGVILLE,12 CONDOS - WALKUP APARTMENTS              ,2,2360,1010,1286 ROCKLAND AVENUE,10314,1,0,1,0,1973,0,6/15/2017
5,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS                    ,1,132,3,423 FOREST AVENUE,10301,1,1,2,3688,1931,495000,5/2/2017
3,BEDFORD STUYVESANT,07 RENTALS - WALKUP APARTMENTS             ,2A,1809,37,394 QUINCY STREET,11216,5,0,5,1917,1931,1442350,2/13/2017
4,ELMHURST,03 THREE FAMILY DWELLINGS                  ,1,1592,65,94-61 43RD   AVENUE,11373,3,0,3,2075,1970,0,2/17/2017
3,BAY RIDGE,10 COOPS - ELEVATOR APARTMENTS             ,2,5885,103,"7002 RIDGE BOULEVARD, F5",11209,0,0,0,0,1931,450000,2/13/2017
3,SUNSET PARK,01 ONE FAMILY DWELLINGS                    ,1,673,35,225 31ST STREET,11232,1,1,2,2233,1931,1225997,6/1/2017
4,REGO PARK,01 ONE FAMILY DWELLINGS                    ,1,3169,72,100-07 67TH DRIVE,11375,1,0,1,2173,1960,0,2/7/2017
2,CASTLE HILL/UNIONPORT,03 THREE FAMILY DWELLINGS                  ,1,3609,2,768 PUGSLEY AVENUE,10473,3,0,3,1744,1965,425000,3/16/2017
2,CASTLE HILL/UNIONPORT,03 THREE FAMILY DWELLINGS                  ,1,3791,21,1956 POWELL AVENUE,10472,3,0,3,2575,1930,655000,4/7/2017
1,FLATIRON,13 CONDOS - ELEVATOR APARTMENTS            ,2,826,1115,1107 BROADWAY,10010,1,0,1,0,1915,11709875,4/14/2017
4,CORONA,14 RENTALS - 4-10 UNIT                     ,2A,1743,32,102-09 37TH AVENUE,11368,2,2,4,2500,1930,950000,8/30/2017
4,FLUSHING-SOUTH,04 TAX CLASS 1 CONDOS                      ,1A,6797,1199,71-19 PARK AVENUE,11365,1,0,1,0,0,555000,7/3/2017
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,376,16,"248 EAST 7TH STREET, 24",10009,0,0,0,0,1928,350000,1/30/2017
3,PARK SLOPE,13 CONDOS - ELEVATOR APARTMENTS            ,2,974,1206,354 2 STREET,11215,1,0,1,0,0,10,4/6/2017
1,JAVITS CENTER,13 CONDOS - ELEVATOR APARTMENTS            ,2,734,1034,448 WEST 37TH STREET,10018,1,0,1,0,0,1910000,2/3/2017
3,SUNSET PARK,02 TWO FAMILY DWELLINGS                    ,1,846,32,364 57TH STREET,11220,2,0,2,2003,1915,0,4/20/2017
4,FLUSHING-NORTH,13 CONDOS - ELEVATOR APARTMENTS            ,2,5066,2042,131-03 40TH   ROAD,11354,1,0,1,0,2016,506734,7/21/2017
3,BROOKLYN HEIGHTS,10 COOPS - ELEVATOR APARTMENTS             ,2,252,8,"2 GRACE COURT, 2N",11201,0,0,0,0,1930,1225000,5/18/2017
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,5594,32,50-08 175 PLACE,11365,1,0,1,4000,1950,880000,3/20/2017
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS            ,2,16,1751,70 LITTLE WEST STREET,10004,1,0,1,0,2006,1265000,8/17/2017
1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1448,17,"345 EAST 73RD STREET, 1H",10021,0,0,0,0,1961,1232500,7/11/2017
3,WILLIAMSBURG-CENTRAL,31 COMMERCIAL VACANT LAND                  ,4,2245,62,45 WALTON STREET,11206,0,0,0,3929,0,0,5/23/2017
3,WILLIAMSBURG-EAST,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,2875,1103,444 HUMBOLDT STREET,11211,1,0,1,0,0,1062000,8/3/2017
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,2041,24,304 WEST 138TH ST,10030,5,0,5,1699,1901,0,6/15/2017
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1473,1035,404 EAST 79TH   STREET,10075,1,0,1,0,1986,0,6/30/2017
4,SUNNYSIDE,01 ONE FAMILY DWELLINGS                    ,1,154,63,39-12 46TH STREET,11104,1,0,1,1742,1940,0,4/4/2017
4,COLLEGE POINT,02 TWO FAMILY DWELLINGS                    ,1,4200,13,22-17 124 STREET,11356,2,0,2,5000,1930,1070000,1/17/2017
3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS                    ,1,1673,40,670 MACON STREET,11233,2,0,2,1800,1899,1400000,4/25/2017
3,EAST NEW YORK,02 TWO FAMILY DWELLINGS                    ,1,3806,6,497 PENNSYLVANIA AVENUE,11207,2,0,2,2000,1901,262300,7/24/2017
1,FINANCIAL,13 CONDOS - ELEVATOR APARTMENTS            ,2,25,1473,15 WILLIAM STREET,10005,1,0,1,0,2005,1085000,4/24/2017
4,FLUSHING-SOUTH,09 COOPS - WALKUP APARTMENTS               ,2,6668,28,144-11 77TH ROAD,11367,26,0,26,41500,1948,190000,4/7/2017
5,WESTERLEIGH,04 TAX CLASS 1 CONDOS                      ,1A,1485,1009,15A YAFA COURT,10314,1,0,1,0,1988,365000,4/11/2017
3,KENSINGTON,03 THREE FAMILY DWELLINGS                  ,1,5309,20,73 TEHAMA STREET,11218,3,0,3,3040,1990,0,3/6/2017
3,OCEAN PARKWAY-SOUTH,02 TWO FAMILY DWELLINGS                    ,1,7151,122,2235 WEST 1ST STREET,11223,2,0,2,1975,1930,850000,2/14/2017
4,OZONE PARK,01 ONE FAMILY DWELLINGS                    ,1,11346,52,132-07 83RD STREET,11417,1,0,1,2000,1940,410670,6/5/2017
4,ASTORIA,13 CONDOS - ELEVATOR APARTMENTS            ,2,539,1037,14-43 28 AVENUE,11102,1,0,1,0,2005,411000,2/16/2017
5,NEW BRIGHTON,10 COOPS - ELEVATOR APARTMENTS             ,2,3,1,"350 RICHMOND TERRACE, 2H",10301,0,0,0,0,1960,0,3/10/2017
5,NEW DORP,02 TWO FAMILY DWELLINGS                    ,1,4229,316,305B TYSENS LANE,10306,2,0,2,1214,1997,565000,8/11/2017
4,FLUSHING-NORTH,43 CONDO OFFICE BUILDINGS                  ,4,5066,1213,40-22 COLLEGE POINT BOULEV,11354,0,0,1,0,2006,0,6/8/2017
1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1542,1511,301 EAST 79TH STREET,10075,1,0,1,0,1974,825000,6/19/2017
4,JACKSON HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,1146,17,3126 76 STREET,11370,1,0,1,1800,1950,0,8/2/2017
3,BUSHWICK,07 RENTALS - WALKUP APARTMENTS             ,2A,3289,16,308 HARMAN STREET,11237,6,0,6,2500,1931,0,7/7/2017
3,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS                    ,1,7582,2,3619 AVENUE I,11210,2,0,2,2925,1920,500000,8/8/2017
3,GRAVESEND,03 THREE FAMILY DWELLINGS                  ,1,6653,16,1726 WEST 3RD STREET,11223,3,0,3,2500,1925,0,5/30/2017
5,SUNNYSIDE,01 ONE FAMILY DWELLINGS                    ,1,600,35,81 GRAND AVENUE,10301,1,0,1,6000,1935,0,6/20/2017
1,UPPER WEST SIDE (59-79),17 CONDO COOPS                             ,2,1158,1405,"170 WEST END AVENUE, 21H",10023,0,0,0,0,1965,820000,1/31/2017
2,THROGS NECK,02 TWO FAMILY DWELLINGS                    ,1,5441,1,501 HOLLYWOOD AVENUE,10465,2,0,2,3200,1960,0,4/28/2017
5,ROSEBANK,01 ONE FAMILY DWELLINGS                    ,1,2859,165,69 DAYNA DRIVE,10305,1,0,1,1428,1985,498000,5/24/2017
5,HUGUENOT,02 TWO FAMILY DWELLINGS                    ,1,6885,1,573 RAMONA AVENUE,10309,2,0,2,4900,1983,715000,4/12/2017
3,FLATBUSH-NORTH,01 ONE FAMILY DWELLINGS                    ,1,4810,1,631 NEW YORK AVENUE,11203,1,1,2,1900,1910,450000,8/9/2017
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS            ,2,84,1020,140 WEST STREET,10007,1,0,1,0,1930,1934675,3/3/2017
1,ROOSEVELT ISLAND,17 CONDO COOPS                             ,2,1373,1901,"551 MAIN STREET, RES",10044,0,0,0,0,1975,1067653,7/31/2017
4,LONG ISLAND CITY,10 COOPS - ELEVATOR APARTMENTS             ,2,18,1,"4-74 48TH AVENUE, 27A",11109,0,0,0,0,1996,940000,7/31/2017
1,INWOOD,10 COOPS - ELEVATOR APARTMENTS             ,2,2243,354,"45 PARK TERRACE WEST, 6E",10034,0,0,0,0,1940,367000,8/9/2017
3,BUSHWICK,03 THREE FAMILY DWELLINGS                  ,1,3335,29,314 LINDEN STREET,11237,3,0,3,1534,1910,0,5/31/2017
3,GREENPOINT,07 RENTALS - WALKUP APARTMENTS             ,2B,2593,31,13 CLIFFORD PLACE,11222,8,0,8,2500,1928,2200000,1/31/2017
4,BELLEROSE,22 STORE BUILDINGS                         ,4,7987,52,239-21 BRADDOCK AVENUE,11426,0,1,1,7900,1920,1050000,3/7/2017
3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS                    ,1,1638,5,101 PATCHEN AVE,11221,2,0,2,2500,1899,1000,7/24/2017
4,BAYSIDE,13 CONDOS - ELEVATOR APARTMENTS            ,2,5893,1924,2 BAY CLUB DRIVE,11360,1,0,1,0,1971,665000,3/29/2017
1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1550,1013,360 EAST 88TH   STREET,10128,1,0,1,0,1988,650000,5/10/2017
4,REGO PARK,44 CONDO PARKING                           ,4,2075,1257,92-29 QUEENS BOULEVARD,11374,0,0,1,0,0,0,1/23/2017
3,DYKER HEIGHTS,13 CONDOS - ELEVATOR APARTMENTS            ,2,5750,1025,6511 FT HAMILTON PARKWAY,11219,1,0,1,0,2004,480000,6/26/2017
5,ELTINGVILLE,01 ONE FAMILY DWELLINGS                    ,1,5718,10,111 CROWN AVENUE,10312,1,0,1,2480,1993,425000,2/10/2017
1,MANHATTAN VALLEY,10 COOPS - ELEVATOR APARTMENTS             ,2,1832,6,"49 WEST 96TH STREET, 1F",10025,0,0,0,0,1941,520000,1/25/2017
4,HOWARD BEACH,03 THREE FAMILY DWELLINGS                  ,1,14207,51,16412 95TH STREET,11414,3,0,3,3557,1970,680000,8/16/2017
1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,899,1,"205 THIRD AVENUE, 5D",10003,0,0,0,0,1964,835000,4/12/2017
3,MARINE PARK,01 ONE FAMILY DWELLINGS                    ,1,8502,6,3511 AVENUE S,11234,1,1,2,1679,1928,0,7/24/2017
4,REGO PARK,10 COOPS - ELEVATOR APARTMENTS             ,2,2082,107,"6115 97TH ST, 7J",11374,0,0,0,0,1960,350000,6/15/2017
3,BUSHWICK,02 TWO FAMILY DWELLINGS                    ,1,3368,33,456 CENTRAL AVENUE,11221,2,1,3,1600,1910,750000,2/23/2017
4,FOREST HILLS,10 COOPS - ELEVATOR APARTMENTS             ,2,2264,101,"75-20 113TH STREET, 2L",11375,0,0,0,0,1950,180000,6/6/2017
1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1833,1400,382 CENTRAL PARK WEST,10025,1,0,1,0,1961,980000,8/1/2017
4,FLUSHING-NORTH,13 CONDOS - ELEVATOR APARTMENTS            ,2,5066,2246,131-03 40TH   ROAD,11354,1,0,1,0,2016,902411,7/12/2017
4,HOLLIS,01 ONE FAMILY DWELLINGS                    ,1,9924,19,89-21 184TH STREET,11423,1,0,1,2500,1925,503000,8/3/2017
1,CHELSEA,17 CONDO COOPS                             ,2,746,1202,"300 WEST 23 STREET, 6I",10011,0,0,0,0,1931,460000,6/7/2017
4,FLORAL PARK,01 ONE FAMILY DWELLINGS                    ,1,8703,313,79-45 266TH STREET,11004,1,0,1,4600,1950,530000,6/7/2017
1,UPPER WEST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1248,19,"325 WEST 86TH STREET, 14C",10024,0,0,0,0,1926,0,3/7/2017
3,EAST NEW YORK,07 RENTALS - WALKUP APARTMENTS             ,2A,4296,69,643 ALABAMA AVENUE,11207,4,0,4,3681,1924,870000,6/27/2017
1,MURRAY HILL,13 CONDOS - ELEVATOR APARTMENTS            ,2,917,1068,201 EAST 36TH   STREET,10016,1,0,1,0,0,882000,3/17/2017
1,UPPER WEST SIDE (59-79),08 RENTALS - ELEVATOR APARTMENTS           ,2A,1122,21,23 WEST 69TH   STREET,10023,5,0,5,2010,1900,9050000,2/1/2017
5,WEST NEW BRIGHTON,02 TWO FAMILY DWELLINGS                    ,1,181,11,401 BROADWAY,10310,2,0,2,3300,1940,375000,2/17/2017
4,REGO PARK,01 ONE FAMILY DWELLINGS                    ,1,2114,21,99-32 64TH   ROAD,11374,1,0,1,2000,1945,0,5/30/2017
4,FOREST HILLS,10 COOPS - ELEVATOR APARTMENTS             ,2,2235,25,"110-50 71ST ROAD, 2C",11375,0,0,0,0,1957,459000,7/13/2017
5,PORT RICHMOND,02 TWO FAMILY DWELLINGS                    ,1,1074,22,45 FABER STREET,10302,2,0,2,3224,1920,580000,7/14/2017
3,CANARSIE,02 TWO FAMILY DWELLINGS                    ,1,8110,49,726 EAST 93RD   STREET,11236,2,0,2,2317,1935,610000,1/13/2017
3,WILLIAMSBURG-NORTH,29 COMMERCIAL GARAGES                      ,4,2312,23,187 NORTH 8TH   STREET,11211,0,0,0,17500,0,27800000,7/19/2017
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS            ,2,16,1922,70 LITTLE WEST STREET,10004,1,0,1,0,2006,2000000,6/29/2017
1,CIVIC CENTER,13 CONDOS - ELEVATOR APARTMENTS            ,2,149,1184,57 READE STREET,10007,1,0,1,0,2010,0,5/25/2017
5,GREAT KILLS,01 ONE FAMILY DWELLINGS                    ,1,5137,16,96 MIDLAND ROAD,10308,1,0,1,8976,1925,930000,5/10/2017
4,GLEN OAKS,09 COOPS - WALKUP APARTMENTS               ,2,8441,1,"73-31 255TH STREET, 72G2",11004,0,0,0,0,1948,315000,4/10/2017
1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,907,56,"200 EAST 27TH STREET, 6J",10016,0,0,0,0,1965,465000,4/6/2017
3,WILLIAMSBURG-SOUTH,13 CONDOS - ELEVATOR APARTMENTS            ,2,2442,1026,338 BERRY STREET,11249,1,0,1,0,2014,1450000,6/21/2017
1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1560,5,"415 EAST 80TH STREET, 2A",10075,0,0,0,0,1959,450000,1/9/2017
4,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS                    ,1,2994,24,63-38 83RD STREET,11379,1,0,1,2000,1940,0,5/4/2017
1,TRIBECA,10 COOPS - ELEVATOR APARTMENTS             ,2,143,4,"55 HUDSON STREET, 6A",10013,0,0,0,0,1900,712520,1/23/2017
2,WESTCHESTER,02 TWO FAMILY DWELLINGS                    ,1,3821,42,1219 HAVEMEYER AVENUE,10462,2,0,2,2160,1920,475000,4/28/2017
3,CROWN HEIGHTS,08 RENTALS - ELEVATOR APARTMENTS           ,2,1156,15,480 ST MARKS AVENUE,11238,71,0,71,17535,1930,0,6/29/2017
1,UPPER WEST SIDE (59-79),45 CONDO HOTELS                            ,4,1138,1203,1965 BROADWAY,10023,0,0,1,0,0,220000,5/11/2017
1,HARLEM-CENTRAL,22 STORE BUILDINGS                         ,4,1930,49,246 WEST 125 STREET,10027,0,2,2,5046,1972,17800000,2/13/2017
4,WOODSIDE,14 RENTALS - 4-10 UNIT                     ,2A,1316,36,53-05 ROOSEVELT AVENUE,11377,4,2,6,2160,1928,0,8/14/2017
3,FLATBUSH-CENTRAL,22 STORE BUILDINGS                         ,4,5236,26,23 NEWKIRK PLAZA,11226,0,1,1,6476,1963,5000000,4/25/2017
3,OCEAN PARKWAY-NORTH,02 TWO FAMILY DWELLINGS                    ,1,6546,49,1291 EAST 10TH STREET,11230,2,0,2,3167,1920,0,6/26/2017
2,EAST TREMONT,03 THREE FAMILY DWELLINGS                  ,1,3096,56,716 EAST 181ST STREET,10457,3,0,3,3502,1925,0,1/18/2017
3,BENSONHURST,02 TWO FAMILY DWELLINGS                    ,1,6224,11,1514 BAY RIDGE PARKWAY,11228,2,0,2,2775,1930,1430000,6/15/2017
4,SPRINGFIELD GARDENS,01 ONE FAMILY DWELLINGS                    ,1,12730,61,193-33 WILLIAMSON AVENUE,11413,1,0,1,4000,1960,485000,8/15/2017
4,FLUSHING-NORTH,13 CONDOS - ELEVATOR APARTMENTS            ,2,5066,1858,131-05 40TH   ROAD,11354,1,0,1,0,2015,803132,2/21/2017
4,ASTORIA,02 TWO FAMILY DWELLINGS                    ,1,689,52,24-59 43RD STREET,11103,2,0,2,1500,1951,0,1/31/2017
3,BROWNSVILLE,01 ONE FAMILY DWELLINGS                    ,1,3830,9,681 SACKMAN STREET,11212,1,0,1,1802,1986,449000,6/20/2017
1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1552,1421,389 EAST 89TH   STREET,10128,1,0,1,0,2002,2436367,7/25/2017
1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1444,43,"310 EAST 70TH STREET, 1D",10021,0,0,0,0,1959,680000,2/27/2017
4,BELLE HARBOR,01 ONE FAMILY DWELLINGS                    ,1,16261,68,446 BEACH 139TH STREET,11694,1,0,1,4000,1960,880000,6/21/2017
3,SUNSET PARK,13 CONDOS - ELEVATOR APARTMENTS            ,2,793,1037,5008 7TH AVENUE,11220,1,0,1,0,2008,670000,3/28/2017
3,MARINE PARK,02 TWO FAMILY DWELLINGS                    ,1,7700,22,1547 EAST 38TH STREET,11234,2,0,2,2500,1925,847000,5/18/2017
1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2C,722,13,"443-445 WEST 24TH STREET, A",10011,0,0,0,0,1900,0,2/16/2017
1,HARLEM-UPPER,07 RENTALS - WALKUP APARTMENTS             ,2A,2061,21,431 WEST 146TH STREET,10031,4,0,4,1424,1920,1995000,5/16/2017
4,JACKSON HEIGHTS,10 COOPS - ELEVATOR APARTMENTS             ,2,1263,1,"76-10 34TH AVENUE, 2S",11372,0,0,0,0,1950,282000,2/8/2017
4,WOODHAVEN,03 THREE FAMILY DWELLINGS                  ,1,8888,21,85-12 96TH   STREET,11421,3,0,3,3600,1920,975000,1/10/2017
5,BULLS HEAD,04 TAX CLASS 1 CONDOS                      ,1A,1495,1092,35A MELISSA STREET,10314,1,0,1,0,1986,275000,6/16/2017
